phase,layer_id,total_selections,top1_expert,top1_probability,top4_coverage,top8_coverage,top12_coverage,top16_coverage,top32_coverage,top12_experts
prefill,0,96,201,0.03125,0.09375,0.177083333333333,0.260416666666667,0.34375,0.541666666666667,201;13;24;28;29;44;52;56;77;112;123;135
prefill,1,96,48,0.0416666666666667,0.104166666666667,0.1875,0.270833333333333,0.34375,0.510416666666667,48;0;25;28;37;44;61;75;77;80;94;139
prefill,2,96,24,0.0208333333333333,0.0833333333333333,0.166666666666667,0.229166666666667,0.270833333333333,0.4375,24;39;40;58;68;79;80;102;238;247;0;2
prefill,3,96,221,0.09375,0.291666666666667,0.447916666666667,0.5625,0.645833333333334,0.822916666666666,221;62;19;202;212;173;0;14;112;121;128;31
prefill,4,96,8,0.15625,0.447916666666667,0.59375,0.666666666666667,0.708333333333333,0.874999999999999,8;17;92;170;110;25;49;46;62;237;238;1
prefill,5,96,23,0.135416666666667,0.46875,0.645833333333333,0.729166666666667,0.8125,0.989583333333333,23;133;63;128;172;210;209;11;21;35;47;84
prefill,6,96,228,0.114583333333333,0.40625,0.5625,0.645833333333333,0.708333333333333,0.875,228;68;76;8;1;156;87;77;88;115;161;181
prefill,7,96,232,0.145833333333333,0.28125,0.4375,0.520833333333333,0.604166666666667,0.78125,232;145;0;66;124;141;220;205;22;24;80;110
prefill,8,96,120,0.145833333333333,0.40625,0.552083333333333,0.635416666666667,0.71875,0.885416666666666,120;77;53;31;208;131;20;17;80;88;110;172
prefill,9,96,114,0.15625,0.479166666666667,0.645833333333333,0.729166666666667,0.791666666666667,0.958333333333333,114;211;40;236;169;57;150;15;31;72;163;191
prefill,10,96,69,0.125,0.416666666666667,0.5625,0.65625,0.739583333333334,0.916666666666666,69;14;16;40;29;64;13;15;94;8;19;37
prefill,11,96,109,0.114583333333333,0.385416666666667,0.572916666666667,0.71875,0.802083333333333,0.989583333333333,109;159;34;38;30;124;5;28;46;209;70;240
prefill,12,96,124,0.125,0.458333333333333,0.666666666666667,0.760416666666667,0.833333333333333,1,124;228;250;189;164;175;14;100;229;43;114;159
prefill,13,96,72,0.145833333333333,0.427083333333333,0.6875,0.802083333333333,0.854166666666667,1,72;59;183;62;143;179;39;19;235;47;87;132
prefill,14,96,61,0.135416666666667,0.510416666666667,0.75,0.833333333333333,0.875,0.999999999999999,61;200;83;70;164;125;197;188;38;109;0;4
prefill,15,96,45,0.145833333333333,0.510416666666667,0.729166666666667,0.833333333333333,0.875,1,45;236;157;90;99;27;92;225;100;180;46;161
prefill,16,96,86,0.145833333333333,0.520833333333333,0.708333333333333,0.833333333333333,0.90625,1,86;175;25;76;9;159;27;30;57;65;221;250
prefill,17,96,53,0.125,0.447916666666667,0.739583333333333,0.833333333333333,0.875,0.999999999999999,53;146;31;33;196;22;247;5;248;32;231;4
prefill,18,96,161,0.145833333333333,0.458333333333333,0.6875,0.791666666666667,0.84375,0.999999999999999,161;116;96;75;89;90;103;156;74;229;31;64
prefill,19,96,57,0.145833333333333,0.427083333333333,0.572916666666667,0.65625,0.697916666666667,0.864583333333333,57;92;176;241;122;53;185;200;49;158;191;251
prefill,20,96,14,0.135416666666667,0.479166666666667,0.770833333333333,0.833333333333333,0.875,0.999999999999999,14;218;131;70;102;151;204;86;217;18;22;32
prefill,21,96,19,0.125,0.46875,0.697916666666667,0.802083333333333,0.864583333333333,1,19;139;205;215;52;49;129;193;75;142;22;56
prefill,22,96,47,0.15625,0.53125,0.75,0.833333333333334,0.875,1,47;173;166;246;135;238;103;64;147;179;205;220
prefill,23,96,97,0.0833333333333333,0.260416666666667,0.385416666666667,0.5,0.583333333333333,0.791666666666667,97;180;197;241;29;30;107;169;233;239;240;1
prefill,24,96,123,0.125,0.427083333333333,0.614583333333333,0.697916666666667,0.78125,0.96875,123;185;251;197;51;56;15;59;60;61;79;105
prefill,25,96,60,0.125,0.40625,0.59375,0.6875,0.739583333333333,0.906249999999999,60;94;186;189;9;89;214;167;191;12;26;127
prefill,26,96,19,0.114583333333333,0.395833333333333,0.572916666666667,0.677083333333333,0.75,0.916666666666666,19;26;195;79;45;215;253;51;132;250;20;31
prefill,27,96,159,0.125,0.385416666666667,0.510416666666667,0.59375,0.677083333333334,0.84375,159;2;188;10;20;162;209;245;14;31;55;100
prefill,28,96,36,0.135416666666667,0.458333333333333,0.645833333333333,0.739583333333333,0.78125,0.947916666666666,36;56;253;207;244;161;46;45;130;218;201;1
prefill,29,96,2,0.125,0.479166666666667,0.729166666666667,0.8125,0.864583333333333,1,2;178;205;93;13;180;192;65;6;55;87;141
prefill,30,96,83,0.135416666666667,0.4375,0.645833333333333,0.739583333333333,0.791666666666667,0.958333333333333,83;51;121;119;109;117;235;12;193;35;212;230
prefill,31,96,45,0.114583333333333,0.395833333333333,0.5625,0.65625,0.71875,0.885416666666666,45;125;170;130;237;18;65;117;234;53;67;113
prefill,32,96,17,0.145833333333333,0.510416666666667,0.6875,0.791666666666667,0.84375,0.999999999999999,17;136;193;107;167;175;228;58;186;227;32;40
prefill,33,96,4,0.145833333333333,0.447916666666667,0.614583333333333,0.697916666666667,0.739583333333333,0.90625,4;147;35;181;41;158;25;30;38;58;205;207
prefill,34,96,85,0.0729166666666667,0.229166666666667,0.40625,0.53125,0.614583333333333,0.854166666666667,85;90;136;204;234;79;196;237;14;22;30;80
prefill,35,96,174,0.125,0.291666666666667,0.416666666666667,0.5,0.583333333333333,0.770833333333333,174;73;74;64;0;166;177;199;11;50;56;86
prefill,36,96,223,0.145833333333333,0.46875,0.6875,0.78125,0.84375,1,223;28;230;208;172;18;111;122;233;20;103;171
prefill,37,96,56,0.104166666666667,0.385416666666667,0.625,0.729166666666667,0.770833333333333,0.937499999999999,56;76;228;29;168;131;38;161;225;233;177;208
prefill,38,96,23,0.15625,0.427083333333333,0.583333333333333,0.666666666666667,0.708333333333333,0.874999999999999,23;10;179;201;44;74;100;63;73;173;199;211
prefill,39,96,120,0.125,0.354166666666667,0.572916666666667,0.71875,0.802083333333333,0.968749999999999,120;121;235;170;182;38;85;220;126;157;150;227
prefill,40,96,7,0.114583333333333,0.416666666666667,0.677083333333333,0.78125,0.822916666666667,0.989583333333333,7;25;40;145;24;23;231;233;30;153;74;82
prefill,41,96,130,0.09375,0.354166666666667,0.5625,0.666666666666667,0.75,0.916666666666666,130;132;35;225;7;59;21;41;185;12;140;160
prefill,42,96,195,0.135416666666667,0.427083333333333,0.625,0.739583333333333,0.78125,0.947916666666666,195;63;33;224;129;45;15;150;225;240;93;190
decode,0,42,6,0.0476190476190476,0.19047619047619,0.380952380952381,0.571428571428571,0.690476190476191,1,6;13;63;70;84;121;123;126;157;168;174;211
decode,1,42,7,0.0476190476190476,0.19047619047619,0.380952380952381,0.571428571428571,0.666666666666667,1,7;26;46;77;100;111;167;169;171;206;212;213
decode,2,42,176,0.0714285714285714,0.214285714285714,0.404761904761905,0.595238095238095,0.714285714285714,1,176;12;14;94;95;118;141;195;223;231;242;248
decode,3,42,62,0.142857142857143,0.428571428571428,0.714285714285714,0.904761904761905,1,1,62;221;112;68;73;82;181;240;7;19;24;63
decode,4,42,8,0.166666666666667,0.404761904761905,0.666666666666667,0.833333333333333,0.928571428571429,1,8;92;17;49;97;170;221;67;82;143;230;28
decode,5,42,23,0.166666666666667,0.619047619047619,0.857142857142857,0.952380952380952,1,1,23;210;133;244;15;172;175;4;21;73;92;128
decode,6,42,9,0.119047619047619,0.428571428571429,0.642857142857143,0.785714285714286,0.880952380952381,1,9;255;1;89;8;68;82;99;146;171;54;56
decode,7,42,232,0.166666666666667,0.5,0.714285714285714,0.857142857142857,0.952380952380953,1,232;122;0;35;120;66;169;191;192;205;14;100
decode,8,42,120,0.142857142857143,0.523809523809524,0.785714285714286,0.904761904761905,1,1,120;208;53;84;112;142;213;212;254;26;31;77
decode,9,42,114,0.166666666666667,0.428571428571428,0.714285714285714,0.904761904761905,1,1,114;211;105;118;166;169;238;242;17;27;57;196
decode,10,42,14,0.166666666666667,0.571428571428571,0.857142857142857,1,1,1,14;29;64;122;8;73;222;242;16;123;40;129
decode,11,42,34,0.166666666666667,0.642857142857143,0.952380952380952,1,1,1,34;159;240;70;109;38;124;186;67;209;0;1
decode,12,42,124,0.166666666666667,0.642857142857143,0.928571428571428,1,1,1,124;154;228;244;43;133;164;189;33;105;187;0
decode,13,42,19,0.166666666666667,0.642857142857143,0.976190476190476,1,1,1,19;59;72;107;148;179;183;9;248;0;1;2
decode,14,42,83,0.166666666666667,0.619047619047619,0.880952380952381,1,1,1,83;197;200;188;173;59;122;138;151;4;61;108
decode,15,42,157,0.166666666666667,0.428571428571428,0.714285714285714,0.904761904761905,1,1,157;121;236;66;90;136;188;225;83;92;107;176
decode,16,42,12,0.166666666666667,0.523809523809524,0.809523809523809,0.976190476190476,1,1,12;175;220;3;25;81;86;221;9;76;250;156
decode,17,42,53,0.166666666666667,0.571428571428571,0.80952380952381,0.952380952380953,1,1,53;196;231;108;146;251;33;104;145;247;22;31
decode,18,42,161,0.142857142857143,0.523809523809524,0.785714285714286,0.928571428571429,1,1,161;183;89;96;159;198;208;64;116;153;35;36
decode,19,42,57,0.166666666666667,0.523809523809524,0.785714285714286,0.952380952380952,1,1,57;176;180;200;16;99;232;70;193;234;241;38
decode,20,42,218,0.166666666666667,0.523809523809524,0.761904761904762,0.904761904761905,1,1,218;216;54;149;130;131;18;61;102;138;85;128
decode,21,42,49,0.166666666666667,0.523809523809524,0.785714285714286,0.952380952380952,1,1,49;129;62;86;154;215;243;19;52;127;202;34
decode,22,42,173,0.142857142857143,0.5,0.809523809523809,0.952380952380952,1,1,173;47;166;238;54;103;202;219;93;156;147;216
decode,23,42,227,0.166666666666667,0.5,0.738095238095238,0.880952380952381,0.976190476190476,1,227;60;118;30;49;195;76;119;164;210;8;165
decode,24,42,59,0.166666666666667,0.571428571428571,0.785714285714286,0.928571428571429,1,1,59;123;186;51;183;61;141;196;209;212;0;40
decode,25,42,214,0.166666666666667,0.523809523809524,0.738095238095238,0.880952380952381,0.976190476190476,1,214;189;173;235;247;111;167;216;219;244;9;37
decode,26,42,26,0.166666666666667,0.523809523809524,0.785714285714286,0.904761904761905,1,1,26;209;19;253;18;68;229;215;243;8;32;79
decode,27,42,39,0.166666666666667,0.476190476190476,0.738095238095238,0.928571428571429,1,1,39;20;203;2;3;140;149;15;218;224;233;234
decode,28,42,19,0.166666666666667,0.619047619047619,0.80952380952381,0.904761904761905,1,1,19;45;56;253;36;46;109;7;28;32;85;101
decode,29,42,9,0.142857142857143,0.5,0.80952380952381,0.952380952380953,1,1,9;2;192;244;37;178;132;5;13;93;19;141
decode,30,42,51,0.166666666666667,0.523809523809524,0.738095238095238,0.857142857142857,0.952380952380953,1,51;83;109;236;132;117;127;161;252;16;94;121
decode,31,42,113,0.166666666666667,0.547619047619048,0.880952380952381,1,1,1,113;65;45;212;94;170;117;143;204;123;203;242
decode,32,42,193,0.166666666666667,0.547619047619048,0.833333333333333,1,1,1,193;203;107;17;82;133;136;175;117;131;214;143
decode,33,42,4,0.166666666666667,0.595238095238095,0.857142857142857,0.952380952380953,1,1,4;35;200;58;15;136;174;212;1;40;64;147
decode,34,42,90,0.166666666666667,0.571428571428571,0.80952380952381,0.952380952380953,1,1,90;207;85;10;79;244;80;115;136;177;30;191
decode,35,42,164,0.166666666666667,0.595238095238095,0.904761904761905,1,1,1,164;174;73;199;216;71;99;161;227;37;178;0
decode,36,42,144,0.166666666666667,0.642857142857143,0.880952380952381,0.976190476190476,1,1,144;172;233;223;18;28;128;53;55;71;103;116
decode,37,42,38,0.166666666666667,0.523809523809524,0.809523809523809,0.976190476190476,1,1,38;56;29;233;31;74;148;234;76;106;131;33
decode,38,42,10,0.166666666666667,0.523809523809524,0.80952380952381,0.976190476190476,1,1,10;76;127;209;74;23;44;15;70;110;169;43
decode,39,42,120,0.166666666666667,0.595238095238095,0.880952380952381,1,1,1,120;183;197;85;220;38;221;106;170;182;190;0
decode,40,42,110,0.166666666666667,0.642857142857143,0.880952380952381,0.976190476190476,1,1,110;145;233;26;25;143;195;208;24;40;122;184
decode,41,42,35,0.166666666666667,0.619047619047619,0.928571428571429,1,1,1,35;41;132;191;59;130;153;8;78;243;0;1
decode,42,42,63,0.166666666666667,0.571428571428571,0.904761904761905,1,1,1,63;195;97;225;39;77;150;15;73;47;224;0
