phase,layer_id,total_selections,top1_expert,top1_probability,top4_coverage,top8_coverage,top12_coverage,top16_coverage,top32_coverage,top12_experts
prefill,0,18,4,0.0555555555555556,0.222222222222222,0.444444444444445,0.666666666666667,0.888888888888889,1,4;17;23;57;109;115;122;182;185;187;191;202
prefill,1,18,21,0.0555555555555556,0.222222222222222,0.444444444444445,0.666666666666667,0.888888888888889,1,21;22;53;63;78;95;112;126;130;142;150;162
prefill,2,18,10,0.0555555555555556,0.222222222222222,0.444444444444445,0.666666666666667,0.888888888888889,1,10;26;39;66;67;92;126;131;149;172;182;192
prefill,3,18,111,0.111111111111111,0.444444444444444,0.666666666666667,0.888888888888889,1,1,111;117;143;235;6;45;64;78;107;118;122;124
prefill,4,18,5,0.111111111111111,0.388888888888889,0.611111111111111,0.833333333333333,1,1,5;88;170;3;14;21;58;63;87;113;145;153
prefill,5,18,35,0.111111111111111,0.388888888888889,0.611111111111111,0.833333333333333,1,1,35;91;249;1;9;17;56;59;60;80;109;110
prefill,6,18,56,0.111111111111111,0.444444444444444,0.666666666666667,0.888888888888889,1,1,56;70;108;236;1;26;38;90;149;181;186;199
prefill,7,18,123,0.111111111111111,0.333333333333333,0.555555555555556,0.777777777777778,1,1,123;223;2;8;14;15;56;97;122;147;169;179
prefill,8,18,20,0.111111111111111,0.333333333333333,0.555555555555556,0.777777777777778,1,1,20;28;3;91;120;141;142;158;186;192;194;208
prefill,9,18,15,0.0555555555555556,0.222222222222222,0.444444444444445,0.666666666666667,0.888888888888889,1,15;20;27;34;40;68;72;101;105;114;132;150
prefill,10,18,89,0.111111111111111,0.333333333333333,0.555555555555556,0.777777777777778,1,1,89;241;8;14;16;32;62;66;80;92;93;100
prefill,11,18,18,0.0555555555555556,0.222222222222222,0.444444444444445,0.666666666666667,0.888888888888889,1,18;22;35;36;53;55;78;118;136;147;157;161
prefill,12,18,154,0.111111111111111,0.277777777777778,0.5,0.722222222222222,0.944444444444445,1,154;19;35;43;45;47;53;80;96;119;127;151
prefill,13,18,62,0.111111111111111,0.277777777777778,0.5,0.722222222222222,0.944444444444445,1,62;4;33;39;44;72;100;107;113;129;148;165
prefill,14,18,21,0.111111111111111,0.277777777777778,0.5,0.722222222222222,0.944444444444445,1,21;14;19;22;33;39;70;128;147;164;188;189
prefill,15,18,242,0.111111111111111,0.277777777777778,0.5,0.722222222222222,0.944444444444445,1,242;4;6;42;57;88;90;121;136;157;158;172
prefill,16,18,205,0.111111111111111,0.277777777777778,0.5,0.722222222222222,0.944444444444445,1,205;2;15;32;34;51;57;76;86;155;161;165
prefill,17,18,68,0.111111111111111,0.444444444444444,0.666666666666667,0.888888888888889,1,1,68;113;146;181;5;22;29;33;53;81;182;213
prefill,18,18,193,0.166666666666667,0.388888888888889,0.611111111111111,0.833333333333334,1,1,193;156;43;74;83;92;96;99;133;137;152;161
prefill,19,18,4,0.111111111111111,0.444444444444444,0.722222222222222,0.944444444444445,1,1,4;38;176;186;254;55;77;110;117;120;163;187
prefill,20,18,240,0.111111111111111,0.277777777777778,0.5,0.722222222222222,0.944444444444445,1,240;51;63;67;82;86;109;113;128;131;191;204
prefill,21,18,19,0.0555555555555556,0.222222222222222,0.444444444444445,0.666666666666667,0.888888888888889,1,19;49;52;59;93;106;110;125;129;142;158;174
prefill,22,18,0,0.0555555555555556,0.222222222222222,0.444444444444445,0.666666666666667,0.888888888888889,1,0;1;37;47;57;97;103;106;133;161;166;173
prefill,23,18,211,0.111111111111111,0.333333333333333,0.555555555555556,0.777777777777778,1,1,211;228;5;7;21;37;57;105;128;163;170;186
prefill,24,18,156,0.111111111111111,0.277777777777778,0.5,0.722222222222222,0.944444444444445,1,156;4;29;51;52;54;61;96;98;114;123;135
prefill,25,18,18,0.111111111111111,0.333333333333333,0.555555555555556,0.777777777777778,1,1,18;60;13;43;64;65;67;68;91;108;120;142
prefill,26,18,167,0.111111111111111,0.333333333333333,0.555555555555556,0.777777777777778,1,1,167;208;8;19;26;28;48;52;54;63;73;98
prefill,27,18,148,0.111111111111111,0.277777777777778,0.5,0.722222222222222,0.944444444444445,1,148;33;58;68;69;109;135;144;145;159;172;188
prefill,28,18,1,0.111111111111111,0.277777777777778,0.5,0.722222222222222,0.944444444444445,1,1;5;32;83;88;119;139;169;194;211;213;218
prefill,29,18,0,0.0555555555555556,0.222222222222222,0.444444444444445,0.666666666666667,0.888888888888889,1,0;2;7;8;40;55;57;67;73;84;140;143
prefill,30,18,119,0.166666666666667,0.333333333333333,0.555555555555556,0.777777777777778,1,1,119;24;31;59;82;89;101;102;104;111;121;130
prefill,31,18,174,0.111111111111111,0.277777777777778,0.5,0.722222222222222,0.944444444444445,1,174;18;30;61;68;74;78;96;117;125;152;154
prefill,32,18,19,0.166666666666667,0.388888888888889,0.611111111111111,0.833333333333334,1,1,19;62;8;58;87;95;140;147;156;165;177;201
prefill,33,18,4,0.111111111111111,0.333333333333333,0.555555555555556,0.777777777777778,1,1,4;93;11;30;51;52;58;65;67;79;94;159
prefill,34,18,1,0.0555555555555556,0.222222222222222,0.444444444444445,0.666666666666667,0.888888888888889,1,1;14;17;33;42;54;56;70;71;72;124;136
prefill,35,18,64,0.111111111111111,0.277777777777778,0.5,0.722222222222222,0.944444444444445,1,64;38;68;81;82;94;111;129;159;166;168;174
prefill,36,18,19,0.111111111111111,0.277777777777778,0.5,0.722222222222222,0.944444444444445,1,19;20;21;32;39;79;85;104;118;137;167;173
prefill,37,18,76,0.111111111111111,0.333333333333333,0.555555555555556,0.777777777777778,1,1,76;231;26;30;58;62;75;81;113;124;125;129
prefill,38,18,106,0.111111111111111,0.277777777777778,0.5,0.722222222222222,0.944444444444445,1,106;20;67;91;95;111;115;128;133;144;152;171
prefill,39,18,15,0.0555555555555556,0.222222222222222,0.444444444444445,0.666666666666667,0.888888888888889,1,15;24;31;36;45;58;64;112;149;156;183;185
prefill,40,18,2,0.111111111111111,0.277777777777778,0.5,0.722222222222222,0.944444444444445,1,2;4;22;29;30;57;62;79;98;108;113;156
prefill,41,18,42,0.111111111111111,0.277777777777778,0.5,0.722222222222222,0.944444444444445,1,42;8;10;25;53;66;103;116;141;154;161;169
prefill,42,18,11,0.111111111111111,0.277777777777778,0.5,0.722222222222222,0.944444444444445,1,11;15;17;26;29;50;89;96;114;126;164;176
decode,0,18,0,0.111111111111111,0.444444444444444,0.777777777777778,1,1,1,0;63;115;153;182;216;52;55;77;79;174;213
decode,1,18,19,0.111111111111111,0.444444444444444,0.777777777777778,1,1,1,19;66;135;176;237;243;0;25;32;76;82;151
decode,2,18,48,0.111111111111111,0.444444444444444,0.777777777777778,1,1,1,48;53;61;63;81;162;39;84;128;146;159;195
decode,3,18,19,0.166666666666667,0.5,0.777777777777778,1,1,1,19;6;43;111;211;1;63;68;79;82;117;118
decode,4,18,161,0.166666666666667,0.5,0.722222222222222,0.944444444444445,1,1,161;170;45;4;5;24;127;186;201;213;230;242
decode,5,18,23,0.166666666666667,0.5,0.833333333333333,1,1,1,23;2;38;70;209;210;53;92;175;212;240;0
decode,6,18,70,0.166666666666667,0.555555555555556,0.833333333333333,1,1,1,70;89;82;148;211;108;120;127;141;157;228;0
decode,7,18,179,0.166666666666667,0.5,0.722222222222222,0.944444444444445,1,1,179;121;122;165;10;14;29;30;87;146;156;243
decode,8,18,120,0.166666666666667,0.5,0.833333333333333,1,1,1,120;20;124;130;201;208;58;88;132;152;186;0
decode,9,18,40,0.166666666666667,0.611111111111111,0.944444444444445,1,1,1,40;114;211;17;141;205;105;121;236;0;1;2
decode,10,18,14,0.166666666666667,0.555555555555556,0.888888888888889,1,1,1,14;16;25;62;66;99;64;69;222;242;0;1
decode,11,18,240,0.166666666666667,0.5,0.833333333333333,1,1,1,240;28;109;118;186;218;34;36;124;161;222;0
decode,12,18,19,0.166666666666667,0.611111111111111,0.888888888888889,1,1,1,19;228;244;43;164;35;124;133;154;247;0;1
decode,13,18,62,0.166666666666667,0.555555555555556,0.888888888888889,1,1,1,62;148;72;108;182;248;7;19;39;63;0;1
decode,14,18,70,0.166666666666667,0.611111111111111,0.944444444444445,1,1,1,70;188;197;59;83;182;35;38;189;0;1;2
decode,15,18,121,0.166666666666667,0.611111111111111,0.888888888888889,1,1,1,121;157;207;46;255;56;187;225;236;254;0;1
decode,16,18,12,0.166666666666667,0.555555555555556,0.777777777777778,1,1,1,12;175;27;172;9;15;25;55;57;155;156;184
decode,17,18,5,0.166666666666667,0.666666666666667,1,1,1,1,5;33;53;146;92;115;22;238;0;1;2;3
decode,18,18,161,0.166666666666667,0.5,0.833333333333333,1,1,1,161;99;103;109;183;211;90;96;116;153;193;0
decode,19,18,57,0.166666666666667,0.555555555555556,0.833333333333333,1,1,1,57;176;89;137;246;46;88;104;200;201;241;0
decode,20,18,131,0.166666666666667,0.611111111111111,1,1,1,1,131;149;218;67;102;109;128;175;0;1;2;3
decode,21,18,49,0.166666666666667,0.611111111111111,0.944444444444445,1,1,1,49;173;205;5;110;215;19;129;243;0;1;2
decode,22,18,103,0.166666666666667,0.666666666666667,1,1,1,1,103;166;173;238;47;246;37;127;0;1;2;3
decode,23,18,30,0.111111111111111,0.444444444444444,0.722222222222222,0.944444444444445,1,1,30;76;142;197;210;21;49;196;217;227;228;249
decode,24,18,61,0.166666666666667,0.555555555555556,0.833333333333333,1,1,1,61;123;91;135;183;4;29;80;114;189;194;0
decode,25,18,68,0.166666666666667,0.555555555555556,0.944444444444445,1,1,1,68;216;18;67;129;214;244;49;108;0;1;2
decode,26,18,26,0.166666666666667,0.5,0.777777777777778,1,1,1,26;49;52;195;233;19;32;97;132;166;205;209
